idx,t,y
0,0,1.6269038271716831
0,1,1.0137838626710172
0,2,1.0799481827380903
0,3,1.1232590907770437
0,4,1.4020097631275135
0,5,1.2976625789274199
0,6,1.0916857448519512
0,7,0.9853789148120669
0,8,0.1149947440481317
0,9,-0.3753725673203133
1,0,0.12225926058550751
1,1,0.9546243548922002
1,2,1.550191915462987
1,3,1.3035653052335716
1,4,1.9315800752794265
1,5,3.4471533946960724
1,6,2.9588397490934057
1,7,4.135773121327102
1,8,4.28578354878096
1,9,5.354245676319494
2,0,1.1967640666538975
2,1,1.5773584876773767
2,2,1.3283364191304665
2,3,0.4478204178673957
2,4,1.7354015599932056
2,5,2.4807936334802716
2,6,2.805081540158117
2,7,2.790900511712735
2,8,4.314831475123363
2,9,3.4652480122192024
3,0,1.850657087841355
3,1,1.3837197146327966
3,2,2.497972308285301
3,3,2.421510269609028
3,4,1.924510366394323
3,5,1.7671101393538906
3,6,2.465949877829029
3,7,2.1721736646721346
3,8,1.7050020164284692
3,9,2.773715866325145
4,0,1.0301267736747788
4,1,2.0026248956827075
4,2,3.454147719480461
4,3,1.6645359271683597
4,4,3.0203748708007327
4,5,3.333931015596233
4,6,3.298582150124693
4,7,2.9593581653490486
4,8,3.4061519677368324
4,9,4.876496564312523
5,0,2.8019392144041264
5,1,1.9200353512214698
5,2,1.5688774474671212
5,3,2.521168612794026
5,4,1.6529685924049624
5,5,1.9311401938665083
5,6,2.3415050536589033
5,7,2.086882934205511
5,8,2.4606524312920985
5,9,3.179855347746706
6,0,-0.1049122092000293
6,1,1.321517595705114
6,2,2.4684709093750485
6,3,2.3055819531630384
6,4,3.5056191593967316
6,5,3.4917210105883303
6,6,5.2443011366652375
6,7,4.400475848446012
6,8,4.5732022316829255
6,9,5.538735615670774
7,0,0.8211952050517053
7,1,1.324130975604429
7,2,0.7676248822522703
7,3,2.6877889959338566
7,4,1.4300105569199868
7,5,2.6944553706439587
7,6,3.230742478105954
7,7,2.7506730408674773
7,8,4.81114109672389
7,9,4.07242635586252
8,0,1.147418162749406
8,1,1.2396921836629593
8,2,1.9663585132009624
8,3,2.295018724342964
8,4,1.9294709505701728
8,5,2.280190799624172
8,6,2.815648515058849
8,7,2.545803921483679
8,8,2.86713616655672
8,9,3.591586315492635
9,0,1.2480433473780388
9,1,0.23053546902241773
9,2,0.8945740612944867
9,3,1.3931953240166504
9,4,1.7101812355421244
9,5,1.5550160876018448
9,6,1.3074299262843385
9,7,2.096452107762805
9,8,1.9819749038253414
9,9,2.263689363473893
10,0,1.4783291164398014
10,1,1.5800146738582694
10,2,3.3822903723201647
10,3,2.7517577153743304
10,4,4.368280450959321
10,5,2.7695007521081934
10,6,3.9188321906149306
10,7,5.016888412182942
10,8,4.0570852638184345
10,9,4.406566251919363
11,0,2.602307167725616
11,1,2.2063292836715855
11,2,1.7293709891119393
11,3,1.3182912495734445
11,4,1.6122574449067284
11,5,2.6660749553923813
11,6,2.4705137710750407
11,7,1.1769833615173078
11,8,1.6255273690715981
11,9,2.372989570862328
12,0,-0.6303050016849557
12,1,0.07918944390130978
12,2,0.9876565132476145
12,3,0.8106856365176407
12,4,1.7298419680199164
12,5,1.7370115980620306
12,6,2.703782756536609
12,7,1.5876362072400807
12,8,2.5773741203943183
12,9,3.7813830977714025
13,0,1.409209812482359
13,1,1.5923827349901116
13,2,0.581305516393568
13,3,1.5465062476469025
13,4,1.659645932186255
13,5,2.173967516866276
13,6,2.4530959899408398
13,7,0.8656009803282234
13,8,1.9582638201501383
13,9,2.332332786912185
14,0,2.208722427198916
14,1,1.3676006143635588
14,2,2.197973966484127
14,3,2.0242686822765066
14,4,3.7253568386066807
14,5,2.740319893203093
14,6,3.604430762545611
14,7,4.563191135411378
14,8,3.695047004603161
14,9,3.990014347286542
